Stock Ticker,Tweet Text,Sentiment,Enter the URL to the tweet
$PARA,"Nice 9% pre market move for $para, pump my calls Uncle Buffett 🤑",Positive,https://twitter.com/option_oracle/status/1526484891881377792?t=wDZDLfRf1JdpQIZwGPBJzA&s=19
$TSLA,"SELL EVERYTHING, BUY $TSLA 🚀🌕",Positive,https://twitter.com/valueanalyst1/status/1525519378992795648?s=21&t=fFKcVxTKSKT8Dcpg1Wva0Q
$GLBE,$GLBE recovered from down 28% to even that’s so crazy LFG,Positive,https://twitter.com/NesQuickley/status/1526584628315836422
$PEP,"$PEP $PM 
Both on my watchlist making strong moves today",Positive,https://twitter.com/Ollie_AllCaps/status/1526229040482267136
$AAPL,$AAPL 🍎 #GoNoGo  Flashing its first weekly warning sign since 2020 lows,Negative,https://twitter.com/TrendSpider/status/1526004510065303555
$BAC,$BAC paid well this morning,Positive,https://twitter.com/SynnTrades/status/1524759344734261249
$PPSI,$PPSI getting tight. I think we see a small bounce,Positive,https://twitter.com/JasonRutkowski3/status/1526576160041324550
$Tsla,I will ONLY buy a Tesla How about YOU? $tsla,Positive,https://twitter.com/adamhoov/status/1525567461289930752?s=20&t=ffbCiXMc6hzUGyJUWdi-Pw
$AMZN,"SELL $AMZN, BUY $TSLA 🚀🌕",Negative,https://twitter.com/ValueAnalyst1/status/1525855341182853121
$TSLA,$NQ $ES $TSLA $MSFT $AMZN $NVDA yes I’m here for turnaround Tuesday,Positive,https://twitter.com/MarlonB18651991/status/1526489892641034240
$COST,"What's the most overvalued company you hold? 

Mine is $COST",Negative,https://twitter.com/joecarlsonshow/status/1525550429072871429
$FB,$FB Nice.,Positive,https://mobile.twitter.com/BransonDenesik/status/1526546498632265728
$BABA,Small gains 🥰 $BABA,Positive,https://twitter.com/CheezeLion/status/1526568914859065350
$UBER,$UBER for the Long haul! $$$,Positive,https://twitter.com/J3Wright3/status/1526289933463330818
$SE,$SE beat is the biggest surprise of the year,Positive,https://twitter.com/JoelCandelario/status/1526601919015268352
$AAPL,Who is this chump? I was shorting $AAPL from $180,Negative,https://twitter.com/calvinfroedge/status/1526383735393992709
$ONON,Is $ONON totally screwed on supply chain issues now?  Trading like it.,Negative,https://twitter.com/LSValue/status/1464253522959024140
